director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,col_merge
Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Drama Western,concrete cowboy,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,Horror Mystery,the unholy,Jeffrey Dean Morgan Katie Aselton William Sadler Evan Spiliotopoulos Horror Mystery
Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,Thriller Mystery,every breath you take,Casey Affleck Sam Claflin Veronica Ferres Vaughn Stein Thriller Mystery
Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,Comedy Drama,shiva baby,Rachel Sennott Molly Gordon Polly Draper Emma Seligman Comedy Drama
Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,Family Drama,the girl who believes in miracles,Mira Sorvino Austyn Johnson Kevin Sorbo Richard Correll Family Drama
Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Drama,the believer,Aidan Bristow Sophie Kargman Susan Wilder Shan Serafin Drama
Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,Horror Mystery,dawn of the beast,Francesca Anderson Adrián Burke Chris Cimperman Bruce Wemple Horror Mystery
Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,Science Fiction Thriller,voyagers,Tye Sheridan Lily-Rose Depp Fionn Whitehead Neil Burger Science Fiction Thriller
Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Comedy Action Adventure Science Fiction,thunder force,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Comedy Action Adventure Science Fiction
Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,Animation Comedy Family,arlo the alligator boy,Michael J. Woodard Mary Lambert Haley Tju Ryan Crego Animation Comedy Family
Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,Drama Romance,monday,Sebastian Stan Denise Gough Yorgos Pirpassopoulos Argyris Papadimitropoulos Drama Romance
Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,Horror Science Fiction Thriller,in the earth,Joel Fry Reece Shearsmith Hayley Squires Ben Wheatley Horror Science Fiction Thriller
Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Science Fiction Drama Thriller Adventure,stowaway,Anna Kendrick Daniel Dae Kim Shamier Anderson Joe Penna Science Fiction Drama Thriller Adventure
Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Action Fantasy Adventure,mortal kombat,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
George Gallo,Ruby Rose,Morgan Freeman,unknown,Action Adventure Thriller,vanquish,Ruby Rose Morgan Freeman unknown George Gallo Action Adventure Thriller
Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,Animation Family Music Fantasy Comedy,together together,Ed Helms Patti Harrison Tig Notaro Nikole Beckwith Animation Family Music Fantasy Comedy
Jeff Rosenberg,William Jackson Harper,Aya Cash,unknown,Romance Comedy,we broke up,William Jackson Harper Aya Cash unknown Jeff Rosenberg Romance Comedy
Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,Horror Science Fiction,the deep ones,Gina La Piana Robert Miano Johann Urb Chad Ferrin Horror Science Fiction
Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Horror,things heard & seen,Amanda Seyfried James Norton Natalia Dyer Shari Springer Berman and Robert Pulcini Horror
Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,Animation Adventure Comedy,the mitchells vs. the machines,Abbi Jacobson Danny McBride Maya Rudolph Mike Rianda Animation Adventure Comedy
Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Action Thriller War,without remorse,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Action Thriller War
Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,Thriller Crime Action,the virtuoso,Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Crime Action
a,Glenn Close,Mila Kunis,Stephen Root,Drama,four good days,Glenn Close Mila Kunis Stephen Root a Drama
William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,Horror Mystery,separation,Rupert Friend Mamie Gummer Violet McGraw William Brent Bell Horror Mystery
Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Horror,the resort,Brock O'Hurn Avery Pascual Michael Vlamis Taylor Chien Horror
Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Crime Action Thriller,wrath of man,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Crime Action Thriller
Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Crime Drama,monster,Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Crime Drama
Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,Action Comedy,the paper tigers,Alain Uy Ron Yuan Mykel Shannon Jenkins Tran Quoc Bao Action Comedy
Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,Comedy Drama,mainstream,Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Comedy Drama
David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man,David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,Comedy Drama,here today,Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime Action,above suspicion,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime Action
Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp,David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
Karl Holt,Karl Holt,Claire Cartwright,David Wayman,Horror Comedy,benny loves you,Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,Crime Drama Mystery Thriller,oxygen,Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Action Crime Horror,army of the dead,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Crime Horror
Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Thriller Action,those who wish me dead,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller Action
Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,Thriller Crime Drama,the woman in the window,Amy Adams Gary Oldman Anthony Mackie Joe Wright Thriller Crime Drama
Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,Horror Mystery Thriller,spiral,Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Mystery Thriller
Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,Crime Drama,georgetown,Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,Romance Drama,finding you,Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Romance Drama
Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,Drama Thriller,the killing of two lovers,Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama Thriller
Dante Yore,John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane,John Littlefield Eric Roberts Alyson Gorske Dante Yore Horror Action
Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,Comedy Drama,dream horse,Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
Glenn Miller,Vivica A. Fox,Eva Ceja,D. C. Douglas,Horror Action Comedy,aquarium of the dead,Vivica A. Fox Eva Ceja D. C. Douglas Glenn Miller Horror Action Comedy
Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Drama,blast beat,Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place part ii,Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Comedy Crime Family Adventure,cruella,Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime Family Adventure
Natalie Morales,Kuhoo Verma,Victoria Moroles,unknown,Action Comedy,plan b,Kuhoo Verma Victoria Moroles unknown Natalie Morales Action Comedy
Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Documentary,changing the game,Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Documentary
Ennio Torresan,Isabela Merced,Marsai Martin,Mckenna Grace,Animation Adventure Family Western,spirit untamed,Isabela Merced Marsai Martin Mckenna Grace Ennio Torresan Animation Adventure Family Western
Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Horror Mystery Thriller,the conjuring: the devil made me do it,Patrick Wilson Vera Farmiga Ruairi O'Connor Michael Chaves Horror Mystery Thriller
Nabil Elderkin,Jacob Latimore,Charlie Plummer,Jonathan Majors,Drama Crime,gully,Jacob Latimore Charlie Plummer Jonathan Majors Nabil Elderkin Drama Crime
Christopher MacBride,Dylan O'Brien,Maika Monroe,Hannah Gross,Thriller,flashback,Dylan O'Brien Maika Monroe Hannah Gross Christopher MacBride Thriller
Todd Randall,Milo Gibson,Laurence Fishburne,Glenn Morshower,Drama,under the stadium lights,Milo Gibson Laurence Fishburne Glenn Morshower Todd Randall Drama
Sebastian Siegel,Mena Suvari,Stuart Townsend,Frances Fisher,Drama Comedy Romance,grace and grit,Mena Suvari Stuart Townsend Frances Fisher Sebastian Siegel Drama Comedy Romance
Mark Raso,Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,Thriller Crime Mystery,awake,Gina Rodriguez Jennifer Jason Leigh Barry Pepper Mark Raso Thriller Crime Mystery
Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Science Fiction Action Adventure Thriller,infinite,Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Adventure Thriller
Will Gluck,James Corden,Rose Byrne,Domhnall Gleeson,Family Comedy Adventure Animation,peter rabbit 2: the runaway,James Corden Rose Byrne Domhnall Gleeson Will Gluck Family Comedy Adventure Animation
Jon M. Chu,Anthony Ramos,Corey Hawkins,Leslie Grace,Drama Romance,in the heights,Anthony Ramos Corey Hawkins Leslie Grace Jon M. Chu Drama Romance
Chris Appelhans,Jimmy Wong,John Cho,Constance Wu,Animation Family Comedy Fantasy,wish dragon,Jimmy Wong John Cho Constance Wu Chris Appelhans Animation Family Comedy Fantasy
Renny Harlin,Pierce Brosnan,Rami Jaber,Hermione Corfield,Action Thriller,the misfits,Pierce Brosnan Rami Jaber Hermione Corfield Renny Harlin Action Thriller
Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,History Drama Action,12 mighty orphans,Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama Action
Deon Taylor,Mike Epps,Katt Williams,Bresha Webb,Comedy,the house next door: meet the blacks 2,Mike Epps Katt Williams Bresha Webb Deon Taylor Comedy
Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret,Romance Comedy,queen bees,Ellen Burstyn James Caan Ann-Margret Michael Lembeck Romance Comedy
Steven V. Vasquez Jr.,David Arquette,Snoop Dogg,Tom Lister Jr.,Comedy,domino: battle of the bones,David Arquette Snoop Dogg Tom Lister Jr. Steven V. Vasquez Jr. Comedy
Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Action Comedy Crime Thriller,hitman's wife's bodyguard,Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Crime Thriller
Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Animation Comedy Fantasy Adventure Family,luca,Jacob Tremblay Jack Dylan Grazer Emma Berman Enrico Casarosa Animation Comedy Fantasy Adventure Family
Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery,Drama Comedy,fatherhood,Kevin Hart Alfre Woodard Lil Rel Howery Paul Weitz Drama Comedy
Jimmy Giannopoulos,Shiloh Fernandez,Val Kilmer,Ewan McGregor,Crime Thriller,the birthday cake,Shiloh Fernandez Val Kilmer Ewan McGregor Jimmy Giannopoulos Crime Thriller
rez Riera,Rita Moreno,Eva Longoria,George Chakiris,Documentary,rita moreno: just a girl who decided to go for it,Rita Moreno Eva Longoria George Chakiris rez Riera Documentary
Edgar Wright,Ron Mael,Russell Mael,unknown,Documentary Music Comedy History,the sparks brothers,Ron Mael Russell Mael unknown Edgar Wright Documentary Music Comedy History
Lisa Immordino Vreeland,Jim Parsons,Zachary Quinto,unknown,Documentary,truman & tennessee: an intimate conversation,Jim Parsons Zachary Quinto unknown Lisa Immordino Vreeland Documentary
Tyler Savage,Christine Ko,Vincent van Horn,Michael Joplin,Horror Science Fiction Thriller,stalker,Christine Ko Vincent van Horn Michael Joplin Tyler Savage Horror Science Fiction Thriller
Jamie Adams,Alia Shawkat,Eiza González,Chanel Cresswell,Comedy Drama Music,love spreads,Alia Shawkat Eiza González Chanel Cresswell Jamie Adams Comedy Drama Music
Nancy Buirski,Gary Duncan,Richard Sobol,unknown,Documentary Crime,a crime on the bayou,Gary Duncan Richard Sobol unknown Nancy Buirski Documentary Crime
Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho,Comedy Romance,good on paper,Iliza Shlesinger Ryan Hansen Margaret Cho Kimmy Gatewood Comedy Romance
Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,Action Adventure Crime,f9,Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Adventure Crime
Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,Action Thriller,the ice road,Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Thriller
Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil,Horror Comedy Fantasy,werewolves within,Sam Richardson Milana Vayntrub George Basil Josh Ruben Horror Comedy Fantasy
John Lee,Ilana Glazer,Justin Theroux,Sophia Bush,Horror Mystery Thriller,false positive,Ilana Glazer Justin Theroux Sophia Bush John Lee Horror Mystery Thriller
Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb,Crime Drama Thriller,lansky,Harvey Keitel Sam Worthington AnnaSophia Robb Eytan Rockaway Crime Drama Thriller
Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez,Drama,i carry you with me,Armando Espitia Christian Vázquez Michelle Rodríguez Heidi Ewing Drama
Vanessa Roth,Mary J. Blige,Taraji P. Henson,Alicia Keys,Documentary Music,mary j. blige's my life,Mary J. Blige Taraji P. Henson Alicia Keys Vanessa Roth Documentary Music
Drew Xanthopoulos,Michelle Fournet,Ellen Garland,unknown,Action Comedy Drama,fathom,Michelle Fournet Ellen Garland unknown Drew Xanthopoulos Action Comedy Drama
